Title,US Gross,,,,
The Land Girls,146083,,,,
"First Love, Last Rites",10876,,,,
I Married a Strange Person,203134,,,,
Let's Talk About Sex,373615,,,,
Slam,1009819,,,,
Mississippi Mermaid,24551,,,,
Following,44705,,,,
Foolish,6026908,,,,
Pirates,1641825,,,,
Duel in the Sun,20400000,,,,
Tom Jones,37600000,,,,
Oliver!,37402877,,,,
To Kill A Mockingbird,13129846,,,,
"Tora, Tora, Tora",29548291,,,,
Hollywood Shuffle,5228617,,,,
Over the Hill to the Poorhouse,3000000,,,,
Wilson,2000000,,,,
Darling Lili,5000000,,,,
The Ten Commandments,80000000,,,,
12 Angry Men,0,,,,
Twelve Monkeys,57141459,,,,
1776,0,,,,
1941,34175000,,,,
Chacun sa nuit,18435,,,,
2001: A Space Odyssey,56700000,,,,
"20,000 Leagues Under the Sea",28200000,,,,
"20,000 Leagues Under the Sea",8000000,,,,
24 7: Twenty Four Seven,72544,,,,
Twin Falls Idaho,985341,,,,
Three Kingdoms: Resurrection of the Dragon,0,,,,
3 Men and a Baby,167780960,,,,
3 Ninjas Kick Back,11744960,,,,
Forty Shades of Blue,75828,,,,
42nd Street,2300000,,,,
Four Rooms,4301000,,,,
The Four Seasons,42488161,,,,
Four Weddings and a Funeral,52700832,,,,
51 Birch Street,84689,,,,
55 Days at Peking,10000000,,,,
Nine 1/2 Weeks,6734844,,,,
AstÈrix aux Jeux Olympiques,999811,,,,
The Abyss,54243125,,,,
Action Jackson,20257000,,,,
Ace Ventura: Pet Detective,72217396,,,,
Ace Ventura: When Nature Calls,108360063,,,,
April Fool's Day,12947763,,,,
Among Giants,64359,,,,
Annie Get Your Gun,8000000,,,,
Alice in Wonderland,0,,,,
The Princess and the Cobbler,669276,,,,
The Alamo,7900000,,,,
Alexander's Ragtime Band,4000000,,,,
Alive,36299670,,,,
Amen,274299,,,,
American Graffiti,115000000,,,,
American Ninja 2: The Confrontation,4000000,,,,
The American President,60022813,,,,
Annie Hall,38251425,,,,
Anatomie,9598,,,,
The Adventures of Huck Finn,24103594,,,,
The Apartment,18600000,,,,
