name,parent,value
Origin,,
146083,Starter,
10876,Starter,Drama
203134,Starter,Comedy
373615,Starter,Comedy
1009819,Starter,Drama
24551,,
44705,,
6026908,Starter,Comedy
1641825,,
20400000,,
37600000,,
37402877,Starter,Musical
13129846,,
29548291,,
5228617,,
3000000,,
2000000,,
5000000,,
80000000,,
0,Starter,Drama
57141459,Starter,Drama
0,Starter,Drama
34175000,Starter,Comedy
18435,Starter,Thriller/Suspense
56700000,,
28200000,Starter,Adventure
8000000,Starter,Adventure
72544,Starter,Comedy
985341,Starter,Drama
0,Starter,Action
167780960,Starter,Comedy
11744960,Starter,Action
75828,Starter,Drama
2300000,Starter,Musical
4301000,Starter,Comedy
42488161,Starter,Comedy
52700832,Starter,Romantic Comedy
84689,,
10000000,Starter,Drama
6734844,Starter,Drama
999811,Starter,Adventure
54243125,Starter,Action
20257000,Starter,Action
72217396,Starter,Comedy
108360063,Starter,Comedy
12947763,Starter,Horror
64359,Starter,Romantic Comedy
8000000,Starter,Musical
0,Starter,Musical
669276,Starter,Adventure
7900000,Starter,Western
4000000,Starter,Drama
36299670,Starter,Adventure
274299,Starter,Drama
115000000,Starter,Comedy
4000000,Starter,Action
60022813,Starter,Romantic Comedy
38251425,Starter,Comedy
9598,Starter,Horror
24103594,Starter,Adventure
18600000,Starter,Romantic Comedy
78800000,Starter,Action
53208180,Starter,Thriller/Suspense
0,Starter,Action
23616,Starter,Thriller/Suspense
15200000,,
8158,Starter,Comedy
42000000,Starter,Adventure
0,Starter,Adventure
20000000,Starter,Drama
800000,,
63658910,Starter,Adventure
3127472,Starter,Romantic Comedy
16581575,Starter,Comedy
4496583,,
12671300,Starter,Comedy
210609762,Starter,Adventure
118450002,Starter,Adventure
87666629,Starter,Adventure
102308900,Starter,Western
65647413,Starter,Action
8801940,Starter,Thriller/Suspense
5000000,,
773490,,
10751126,Starter,Action
9000000,Starter,Adventure
73000000,Starter,Adventure
31559560,Starter,Adventure
5274005,Starter,Drama
171340294,Starter,Musical
23600000,Starter,Drama
909000,Starter,Western
4655,Starter,Comedy
8800000,,
0,,
4357406,Starter,Comedy
234760478,Starter,Action
153665036,Starter,Action
42586861,Starter,Action
35841901,,
0,,
114968774,Starter,Comedy
11000000,Starter,Drama
56190094,Starter,Drama
1660865,Starter,Drama
2000000,,
16118077,Starter,Drama
887000,,
1610194,Starter,Drama
32656328,Starter,Thriller/Suspense
11806119,Starter,Action
57229890,Starter,Musical
13747234,Starter,Thriller/Suspense
1023424,Starter,Drama
2800000,Starter,Musical
9172000,,
3802260,Starter,Thriller/Suspense
527,Starter,Thriller/Suspense
Unknown,Starter,Comedy
37537675,Starter,Comedy
10000000,Starter,Drama
3500000,Starter,Western
882290,Starter,Action
0,Starter,Documentary
70052444,Starter,Comedy
33300000,Starter,Drama
70001698,Starter,Drama
2962051,Starter,Drama
45892212,Starter,Thriller/Suspense
407488,Starter,Adventure
242623,Starter,Horror
71516617,Starter,Drama
10426506,Starter,Drama
82522790,Starter,Horror
70645997,Starter,Action
8921050,Starter,Thriller/Suspense
75545647,Starter,Drama
0,Starter,Comedy
9929135,Starter,Black Comedy
119500000,Starter,Comedy
609042,Starter,Drama
3500000,Starter,Musical
39916091,Starter,Comedy
50800000,Starter,Action
73326666,Starter,Comedy
162831698,Starter,Action
184031112,Starter,Action
0,,
251188924,Starter,Action
14231669,Starter,Horror
1470856,Starter,Comedy
9000000,Starter,Comedy
15030,Starter,Drama
19000000,Starter,Thriller/Suspense
174682,Starter,Drama
39846344,Starter,Comedy
79091969,Starter,Thriller/Suspense
122012656,Starter,Action
25878153,Starter,Horror
22744718,Starter,Comedy
3479302,Starter,Comedy
25928721,Starter,Drama
0,,
166000000,Starter,Adventure
60240295,Starter,Comedy
49000,Starter,Thriller/Suspense
33244684,Starter,Horror
26904572,Starter,Horror
21226204,Starter,Action
814666,Starter,Drama
57159946,Starter,Drama
19294144,Starter,Comedy
17570324,Starter,Drama
4700000,Starter,Horror
0,Starter,Action
13024170,Starter,Comedy
1647780,Starter,Comedy
48000000,Starter,Drama
84049211,Starter,Action
4134,Starter,Drama
92115211,Starter,Drama
32092,Starter,Drama
56598476,Starter,Comedy
93589701,Starter,Drama
3073428,Starter,Comedy
5969553,Starter,Drama
30000000,Starter,Adventure
444354,,
35073978,Starter,Action
52293000,Starter,Drama
85000000,Starter,Drama
81022333,Starter,Adventure
38264085,Starter,Action
26400000,Starter,Action
6965361,Starter,Drama
1953732,Starter,Adventure
7033,Starter,Documentary
925402,Starter,Comedy
32653000,,
0,,
68856263,Starter,Comedy
9700000,,
94596,,
174803506,Starter,Comedy
673780,Starter,Drama
713413,Starter,Drama
20036244,Starter,Horror
14000000,Starter,Horror
62546695,Starter,Drama
91387195,Starter,Action
1000000,Starter,Adventure
0,,
0,Starter,Black Comedy
10462500,Starter,Drama
42438300,Starter,Drama
100328194,Starter,Comedy
2000000,Starter,Musical
24911670,Starter,Comedy
20278055,Starter,Drama
10017322,Starter,Adventure
244465,Starter,Drama
4000000,Starter,Drama
59003384,Starter,Drama
5321508,Starter,Western
4420000,Starter,Thriller/Suspense
70071,Starter,Thriller/Suspense
32051917,Starter,Thriller/Suspense
4372561,Starter,Action
11487676,Starter,Drama
25532388,Starter,Action
127175374,Starter,Comedy
43800000,Starter,Action
9579068,Starter,Horror
423,Starter,Horror
67163857,Starter,Drama
32908290,Starter,Action
103738726,Starter,Action
84733,,
5100000,Starter,Horror
113502246,Starter,Comedy
58422650,Starter,Comedy
210904,Starter,Action
95860116,Starter,Drama
3700000,,
45000000,,
20766000,Starter,Horror
117323878,Starter,Action
100012499,Starter,Action
51364680,Starter,Adventure
81350242,Starter,Action
12592907,Starter,Comedy
129319,Starter,Drama
22032635,Starter,Drama
